Company,Headquarter,Sector,Investor,Amount,Stage,fundyear
Slintel,"San Francisco Bay Area, Silicon Valley, West Coast",Sles And Marketing,"Accel, Stellaris Venture Partners",4200000.0,Series A,2020
SoOLEGAL,New Delhi,Legaltech,Venture Catalysts,4000000.0,Series A,2020
HobSpace,Mumbai,EdTech,Artha Venture,200000.0,Seed,2020
Supplynote,Noida,Saas Startup,"MOX, SOSV",500000.0,Seed,2020
Hire Me Car,Noida,Car Service,Venture Catalysts,113042969.54307117,Seed,2020
ShopUp,Bangaldesh,E-Commerce,"Flourish Ventures, Lonsdale Capital",22000000.0,Series A,2020
Harmonizer India,Bangalore,Tech Startup,Kapil Dev,113042969.54307117,Series A,2020
Zomato,Gurugram,Food & Beverage,"Kora, Tiger Global Management",52000000.0,Series A,2020
Dukaan,Mumbai,Tech Startup,"Lightspeed, Matrix Partners.",6000000.0,Seed,2020
CredR,Mumbai,Bike Marketplace,"Eight Roads Ventures, On Mauritius",2000000.0,Series A,2020
Satyukt,Bangalore,Agri Tech,"NABVENTURES, Social Alpha (India)",500000.0,Seed,2020
RACEnergy,Hyderabad,Automotive,"growX Ventures, Huddle (Incubator)",113042969.54307117,Series A,2020
TREAD,Bangalore,Fitness Startup,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre-seed,2020
Anveshan,Bangalore,Food & Beverage,Titan Capital,100000.0,Pre-seed,2020
TeaMonk,Bangalore,Food & Beverage,"Lead Angels Network, Roots Ventures",900000.0,Pre-series A,2020
Fleetx,Gurugram,Tech Startup,"Rohit Bansal, Rohan Ranavat",3000000.0,Pre-series B,2020
ReNEWate,Pune,Real Estate,Real Estate Accelerator Program,113042969.54307117,Pre-seed,2020
Tango Eye,Chennai,Saas Startup,"Riso Investments, Lenskart",113042969.54307117,Seed,2020
Rare Planet,Kolkata,Reatil Startup,Venture Catalysts,113042969.54307117,Pre-series A,2020
Avataa Me,Bangalore,Ar Platform,Sequoia Capital India,7000000.0,Series A,2020
Arrival,"London, England, United Kingdom",Ev Startup,"UPS Ventures, Hyundai Motor Company",118000000.0,Series A,2020
Cover Genius,"Sydney, New South Wales, Australia",FinTech,"King River Capital, Leap Capital",15000000.0,Series A,2020
Phononic Vibes,"Milano, Lombardia, Italy",Deeptech,Venture Catalysts,2300000.0,Series A,2020
MikeLegal,Gurugram,Legaltech,"SOSV, Artesian",113042969.54307117,Seed,2020
Clair,"New York, United States",FinTech,"Upfront Ventures, Walkabout Ventures",4500000.0,Seed,2020
Gourmet Garden,"Palmwoods, Queensland, Australia",Consumer Goods,Advent Partners,113042969.54307117,Series A,2020
Miko,Mumbai,Ai Startup,"Stride Ventures, YourNest Venture Capital",3000000.0,Pre-series B,2020
Razorpay,Bangalore,FinTech,"Tiger Global Management, Sequoia Capital India",100000000.0,Series D,2020
Ninjacart,Bangalore,Food & Beverage,"Syngenta Ventures, Walmart",30000000.0,Series A,2020
Wow! Momo,Kolkata,Food & Beverage,"Tiger Global Management, William Bissell",5000000.0,Debt,2020
Pepper Content,Mumbai,Content Marketplace,"Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020
LIVSPACE,Bangalore,Interior Design,"Mercer Investments, Bessemer Venture Partners",4000000.0,Debt,2020
Acculi Labs,Bangalore,Health,Startup Basket.,600000.0,Seed,2020
Your MD,"London, England, United Kingdom",Health,"Orkla Ventures, Smedvig Capital",25000000.0,Series A,2020
Antaios,France,Tech Company,Venture Catalysts,11000000.0,Series A,2020
Unnati,Noida,Agritech,NABVENTURES,1700000.0,Pre-series A,2020
Disprz,Chennai,EdTech,"Xseed Partners, InnoVen Capital",1600000.0,Pre-series B,2020
Uni,Mumbai,FinTech,"Lightspeed India Partners, Accel India",18500000.0,Seed,2020
Credit Wise Capital,Mumbai,FinTech,Venture Catalysts,6000000.0,Seed,2020
Chargebee,"San Francisco Bay Area, West Coast, Western US",Saas Startup,"Accel, Steadview Capital",55000000.0,Series F,2020
Reliance Retail Ventures Ltd,Mumbai,Retail,"Silver Lake, Mubadala Investment Company",70000000000.0,Series A,2020
Winuall,Bangalore,EdTech,"Amit Lakhotia, Akash Gehani",2000000.0,Series A,2020
Genrobotics,"Trivandrum, Kerala, India",Ai Startup,Unicorn India Ventures,300000.0,Series A,2020
Livve,Cochin,Rental Space,Venture Catalysts,1500000.0,Seed,2020
Ergos,"Samastipur, Bihar",Agritech,"Aavishkaar Venture Capital, Chiratae Ventures",5000000.0,Series A,2020
Krishitantra,Hyderabad,Soil-Tech,"NABVENTURES, Omnivore",1000000.0,Seed,2020
